cidade,ano,estado,regiao,taxa_deposito,pib,pib_percapita,saude,saude_percapita,endividamento,idade_media,populacao,spread,id
Somalia,7/1/00 0:00,Centro Oeste,Brasilia,,,,,,,48,"7,399,033",,1
Zimbabwe,7/1/00 0:00,Centro Oeste,Brasilia,50,$6.69B,$0.5K,0,$0.0B,68,45,"12,509,477",18,2
Comoros,7/1/00 0:00,Centro Oeste,Brasilia,3,$0.20B,$0.4K,3,$0.0B,12,58,"562,469",9,3
Rwanda,7/1/00 0:00,Centro Oeste,Brasilia,10,$1.73B,$0.2K,4,$0.0B,17,47,"8,098,344",7,4
Tanzania,7/1/00 0:00,Centro Oeste,Brasilia,7,$10.19B,$0.3K,4,$0.0B,22,50,"34,038,161",15,5
Ethiopia,7/1/00 0:00,Centro Oeste,Brasilia,6,$8.18B,$0.1K,4,$0.0B,11,52,"65,577,897",5,6
Kenya,7/1/00 0:00,Centro Oeste,Brasilia,8,$12.69B,$0.4K,4,$0.0B,22,52,"31,253,701",14,7
Madagascar,7/1/00 0:00,Centro Oeste,Brasilia,15,$3.88B,$0.3K,4,$0.0B,27,60,"15,364,272",12,8
Mauritius,7/1/00 0:00,Centro Oeste,Brasilia,10,$4.58B,$3.9K,4,$0.0B,21,72,"1,186,873",11,9
Seychelles,7/1/00 0:00,Centro Oeste,Brasilia,5,$0.61B,$7.6K,5,$0.0B,11,,"81,131",6,10
Eritrea,7/1/00 0:00,Centro Oeste,Brasilia,,$0.63B,$0.2K,5,$0.0B,,56,"3,667,576",,11
Zambia,7/1/00 0:00,Centro Oeste,Brasilia,20,$3.24B,$0.3K,6,$0.0B,39,42,"10,201,562",19,12
Malawi,7/1/00 0:00,Centro Oeste,Brasilia,33,$1.74B,$0.2K,6,$0.0B,53,46,"11,228,756",20,13
Mozambique,7/1/00 0:00,Centro Oeste,Brasilia,10,$4.25B,$0.2K,6,$0.0B,19,47,"18,200,656",9,14
Djibouti,7/1/00 0:00,Centro Oeste,Brasilia,,$0.55B,$0.8K,6,$0.0B,,54,"731,930",,15
Burundi,7/1/00 0:00,Centro Oeste,Brasilia,,$0.84B,$0.1K,7,$0.0B,16,46,"6,374,347",,16
Uganda,7/1/00 0:00,Centro Oeste,Brasilia,10,$6.19B,$0.3K,7,$0.0B,23,46,"24,213,120",13,17
Angola,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,40,$9.13B,$0.7K,2,$0.0B,103,45,"13,926,373",63,18
Equatorial Guinea,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,5,$1.25B,$2.4K,2,$0.0B,22,49,"520,380",17,19
"Congo, Rep.",7/1/00 0:00,Centro Oeste,Middle Centro Oeste,5,$3.22B,$1.0K,2,$0.0B,22,54,"3,135,773",17,20
Gabon,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,5,$5.07B,$4.1K,2,$0.0B,,60,"1,235,274",,21
Central Centro Oesten Republic,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,5,$0.96B,$0.3K,4,$0.0B,22,44,"3,701,607",17,22
"Congo, Dem. Rep.",7/1/00 0:00,Centro Oeste,Middle Centro Oeste,,$4.31B,$0.1K,4,$0.0B,,46,"49,626,200",,23
Cameroon,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,5,$10.08B,$0.6K,5,$0.0B,22,50,"15,678,269",17,24
Chad,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,5,$1.39B,$0.2K,6,$0.0B,22,48,"8,222,327",17,25
Sao Tome and Principe,7/1/00 0:00,Centro Oeste,Middle Centro Oeste,21,,,11,$0.0B,40,62,"141,010",19,26
South Sudan,7/1/00 0:00,Centro Oeste,Northern Centro Oeste,,,,,,,,"6,631,346",,27
Sudan,7/1/00 0:00,Centro Oeste,Northern Centro Oeste,,$12.37B,$0.4K,3,$0.0B,,57,"27,556,383",,28
Algeria,7/1/00 0:00,Centro Oeste,Northern Centro Oeste,8,$54.79B,$1.8K,3,$0.0B,10,70,"30,533,827",2,29
Libya,7/1/00 0:00,Centro Oeste,Northern Centro Oeste,3,$33.90B,$6.5K,3,$0.0B,7,73,"5,231,189",4,30
Morocco,7/1/00 0:00,Centro Oeste,Northern Centro Oeste,5,$37.02B,$1.3K,4,$0.0B,13,69,"28,793,236",8,31
"Egypt, Arab Rep.",7/1/00 0:00,Centro Oeste,Northern Centro Oeste,9,$99.84B,$1.5K,5,$0.0B,13,69,"67,648,419",4,32
Tunisia,7/1/00 0:00,Centro Oeste,Northern Centro Oeste,,$21.47B,$2.2K,6,$0.0B,,73,"9,563,500",,33
Botswana,7/1/00 0:00,Centro Oeste,Southern Centro Oeste,9,$5.63B,$3.2K,5,$0.0B,15,51,"1,757,925",6,34
Swaziland,7/1/00 0:00,Centro Oeste,Southern Centro Oeste,7,$1.52B,$1.5K,6,$0.0B,14,49,"1,010,787",7,35
Namibia,7/1/00 0:00,Centro Oeste,Southern Centro Oeste,7,$3.91B,$2.1K,6,$0.0B,15,58,"1,895,839",8,36
Lesotho,7/1/00 0:00,Centro Oeste,Southern Centro Oeste,5,$0.75B,$0.4K,7,$0.0B,17,48,"1,963,878",12,37
South Centro Oeste,7/1/00 0:00,Centro Oeste,Southern Centro Oeste,9,$132.88B,$3.0K,8,$0.0B,15,55,"44,000,000",6,38
Niger,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$1.80B,$0.2K,4,$0.0B,,48,"10,922,421",,39
Benin,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$2.25B,$0.3K,4,$0.0B,,53,"6,517,810",,40
Senegal,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$4.69B,$0.5K,4,$0.0B,,56,"9,505,862",,41
Mauritania,7/1/00 0:00,Centro Oeste,Western Centro Oeste,9,$1.29B,$0.5K,4,$0.0B,26,57,"2,642,743",17,42
Nigeria,7/1/00 0:00,Centro Oeste,Western Centro Oeste,12,$45.98B,$0.4K,5,$0.0B,21,46,"123,688,536",9,43
Guinea,7/1/00 0:00,Centro Oeste,Western Centro Oeste,8,$3.11B,$0.4K,5,$0.0B,19,48,"8,344,486",11,44
Burkina Faso,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$2.61B,$0.2K,5,$0.0B,,50,"12,294,012",,45
Cote d'Ivoire,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$10.42B,$0.6K,5,$0.0B,,50,"16,581,653",,46
Togo,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$1.29B,$0.3K,5,$0.0B,,55,"4,793,504",,47
Cape Verde,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$0.54B,$1.2K,5,$0.0B,12,69,"437,238",8,48
Guinea-Bissau,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$0.22B,$0.2K,6,$0.0B,,45,"1,240,655",,49
Mali,7/1/00 0:00,Centro Oeste,Western Centro Oeste,4,$2.42B,$0.2K,6,$0.0B,,47,"11,295,324",,50
"Gambia, The",7/1/00 0:00,Centro Oeste,Western Centro Oeste,13,$0.79B,$0.6K,6,$0.0B,24,55,"1,297,084",11,51
Ghana,7/1/00 0:00,Centro Oeste,Western Centro Oeste,29,$4.98B,$0.3K,7,$0.0B,,58,"19,165,490",,52
Liberia,7/1/00 0:00,Centro Oeste,Western Centro Oeste,6,$0.53B,$0.2K,9,$0.0B,21,46,"2,847,290",15,53
Sierra Leone,7/1/00 0:00,Centro Oeste,Western Centro Oeste,9,$0.64B,$0.2K,15,$0.0B,26,40,"4,143,115",17,54
"Korea, Dem. Rep.",7/1/00 0:00,Asia,,,,,,,,65,"22,894,095",,55
"Macao SAR, China",7/1/00 0:00,Asia,,5,$6.10B,$14.1K,,,10,79,"431,867",5,56
"Hong Kong SAR, China",7/1/00 0:00,Asia,,5,$169.12B,$25.4K,,,10,81,"6,665,000",5,57
Myanmar,7/1/00 0:00,Asia,,10,,,2,$0.0B,15,62,"44,957,660",5,58
Indonesia,7/1/00 0:00,Asia,,13,$165.02B,$0.8K,2,$0.0B,18,66,"213,395,411",5,59
