Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
hv,60797581,1,"Monday, November  3, 2014 12:05:46 UTC",19.4263,-155.6125,1.7,1.90,22,"Island of Hawaii, Hawaii"
pr,14307005,0,"Monday, November  3, 2014 12:00:23 UTC",18.3635,-68.0022,3.3,110.00,12,"Mona Passage, Dominican Republic"
pr,14307004,0,"Monday, November  3, 2014 09:21:12 UTC",18.1397,-67.4365,2.7,12.00, 7,"Mona Passage, Puerto Rico"
pr,14307003,0,"Monday, November  3, 2014 08:50:52 UTC",18.2950,-68.1526,3.2,30.00, 8,"Mona Passage, Dominican Republic"
pr,14307001,0,"Monday, November  3, 2014 05:07:31 UTC",19.1105,-67.2279,3.2,24.00,10,"Puerto Rico region"
pr,14307002,0,"Monday, November  3, 2014 05:06:18 UTC",18.9557,-67.1330,2.6,45.00, 6,"Puerto Rico region"
pr,14307000,0,"Monday, November  3, 2014 03:16:41 UTC",18.8752,-66.4040,2.7,51.00,14,"Puerto Rico region"
hv,60797471,1,"Monday, November  3, 2014 03:02:48 UTC",19.2087,-155.0440,2.2,44.50,71,"Island of Hawaii, Hawaii"
pr,14306006,0,"Sunday, November  2, 2014 23:50:33 UTC",19.3059,-64.4903,3.0,30.00, 6,"Virgin Islands region"
hv,60797381,1,"Sunday, November  2, 2014 22:54:20 UTC",19.1587,-155.5545,2.2,30.40,65,"Island of Hawaii, Hawaii"
uw,60915136,1,"Sunday, November  2, 2014 22:14:07 UTC",49.4155,-120.5378,1.5,0.00, 7,"British Columbia, Canada"
hv,60797326,1,"Sunday, November  2, 2014 20:11:37 UTC",19.2820,-155.0488,2.5,45.00,72,"Island of Hawaii, Hawaii"
hv,60797286,1,"Sunday, November  2, 2014 15:42:30 UTC",19.1845,-155.5505,2.1,0.70,48,"Island of Hawaii, Hawaii"
pr,14306005,0,"Sunday, November  2, 2014 15:09:08 UTC",18.1578,-67.2471,1.7,21.00, 3,"Mona Passage, Puerto Rico"
hv,60797271,1,"Sunday, November  2, 2014 14:37:34 UTC",19.0318,-155.4637,2.4,38.10,69,"Island of Hawaii, Hawaii"
hv,60797241,1,"Sunday, November  2, 2014 12:08:35 UTC",19.3223,-155.1872,1.8,5.60,66,"Island of Hawaii, Hawaii"
uw,60915036,1,"Sunday, November  2, 2014 11:58:23 UTC",41.8668,-119.6967,2.8,0.00,11,"Nevada"
pr,14306004,0,"Sunday, November  2, 2014 09:06:04 UTC",18.1637,-67.1996,2.8,25.00,17,"Mona Passage, Puerto Rico"
pr,14306003,0,"Sunday, November  2, 2014 07:55:11 UTC",17.7926,-68.6959,3.8,123.00,18,"Dominican Republic region"
at,00neehmw,1,"Sunday, November  2, 2014 07:18:32 UTC",59.7840,-153.0980,4.0,136.00,20,"Southern Alaska"
uw,60915006,1,"Sunday, November  2, 2014 06:12:58 UTC",48.8758,-122.7208,1.9,19.00,26,"Washington"
pr,14306001,0,"Sunday, November  2, 2014 06:01:53 UTC",18.7709,-65.2782,2.7,51.00,14,"Puerto Rico region"
pr,14306002,0,"Sunday, November  2, 2014 03:39:09 UTC",17.9909,-67.0375,1.6,11.00, 3,"Puerto Rico"
uw,60914981,1,"Sunday, November  2, 2014 02:37:31 UTC",45.8532,-122.9303,1.0,22.70,18,"Oregon"
pr,14306000,0,"Sunday, November  2, 2014 00:29:30 UTC",18.0912,-63.6287,3.0,29.00, 4,"Anguilla region, Leeward Islands"
uw,60914901,1,"Saturday, November  1, 2014 23:29:37 UTC",45.7492,-123.0187,1.9,26.80,23,"Oregon"
hv,60797126,1,"Saturday, November  1, 2014 23:14:02 UTC",19.7447,-155.6143,2.1,0.00, 9,"Island of Hawaii, Hawaii"
uw,60914856,2,"Saturday, November  1, 2014 20:31:10 UTC",46.3800,-119.6455,1.7,18.80,29,"Washington"
uw,60914841,1,"Saturday, November  1, 2014 19:57:54 UTC",49.0623,-122.1862,2.3,11.10,16,"British Columbia, Canada"
at,00nedjbm,1,"Saturday, November  1, 2014 18:57:22 UTC",-19.7330,-177.7500,6.9,416.00,45,"Fiji region"
uw,60914816,1,"Saturday, November  1, 2014 18:45:27 UTC",47.7092,-123.0402,2.1,46.50,22,"Olympic Peninsula, Washington"
pr,14305006,0,"Saturday, November  1, 2014 17:53:17 UTC",19.0119,-67.2545,2.9,16.00,11,"Puerto Rico region"
hv,60797036,1,"Saturday, November  1, 2014 17:44:50 UTC",19.4403,-155.3247,1.7,7.50,30,"Island of Hawaii, Hawaii"
uw,60914786,1,"Saturday, November  1, 2014 17:07:10 UTC",49.3927,-120.5200,2.4,0.00,10,"British Columbia, Canada"
uw,60914776,1,"Saturday, November  1, 2014 16:43:38 UTC",48.4127,-123.4112,1.7,9.60,20,"Vancouver Island, Canada region"
pr,14305005,0,"Saturday, November  1, 2014 13:03:28 UTC",18.4909,-64.5278,1.9,8.00, 3,"Virgin Islands region"
hv,60796956,2,"Saturday, November  1, 2014 12:05:32 UTC",19.4952,-155.5858,2.3,0.00,20,"Island of Hawaii, Hawaii"
pr,14305000,0,"Saturday, November  1, 2014 11:13:30 UTC",17.9155,-67.1147,2.4,9.00,13,"Puerto Rico region"
pr,14305002,0,"Saturday, November  1, 2014 10:31:05 UTC",18.0294,-66.9909,2.4,18.00, 7,"Puerto Rico"
pr,14305001,0,"Saturday, November  1, 2014 10:30:30 UTC",19.1639,-65.8105,2.7,94.00, 3,"Puerto Rico region"
pr,14305004,0,"Saturday, November  1, 2014 10:26:22 UTC",17.9055,-67.1425,1.7,5.00, 3,"Puerto Rico region"
pr,14305003,0,"Saturday, November  1, 2014 09:37:05 UTC",17.9286,-67.1050,1.1,10.00, 3,"Puerto Rico region"
hv,60796911,1,"Saturday, November  1, 2014 09:09:13 UTC",19.9540,-155.4878,2.4,37.30,60,"Island of Hawaii, Hawaii"
uw,60914601,1,"Saturday, November  1, 2014 07:13:44 UTC",41.8582,-119.6870,1.2,0.30, 6,"Nevada"
hv,60796821,2,"Saturday, November  1, 2014 05:07:33 UTC",19.3145,-155.4258,2.3,7.90,77,"Island of Hawaii, Hawaii"
uw,60914476,1,"Saturday, November  1, 2014 03:23:02 UTC",41.8640,-119.6885,1.8,0.10, 7,"Nevada"
hv,60796796,2,"Saturday, November  1, 2014 02:56:32 UTC",19.4108,-155.2752,1.9,0.60,19,"Island of Hawaii, Hawaii"
pr,14304007,0,"Friday, October 31, 2014 23:16:33 UTC",19.1455,-64.0828,3.2,60.00, 4,"Virgin Islands region"
pr,14304006,0,"Friday, October 31, 2014 22:54:51 UTC",18.9853,-64.2546,3.2,56.00, 6,"Virgin Islands region"
pr,14304005,0,"Friday, October 31, 2014 22:24:45 UTC",18.9983,-64.4076,3.4,57.00,14,"Virgin Islands region"
uw,60914191,1,"Friday, October 31, 2014 16:27:41 UTC",45.0840,-123.1268,2.4,20.40,23,"Oregon"
hv,60796626,1,"Friday, October 31, 2014 14:59:11 UTC",19.1508,-155.3465,1.7,36.90,50,"Island of Hawaii, Hawaii"
